1340011882,60.003,122.584
1340011883,59.981,122.561
1340011884,59.983,122.571
1340011885,59.978,122.577
1340011886,59.978,122.523
1340011887,60.005,122.537
1340011888,59.984,122.539
1340011889,59.982,122.556
1340011890,59.978,122.584
1340011891,60.007,122.607
1340011892,59.984,122.566
1340011893,59.981,122.561
1340011894,59.978,122.565
1340011895,59.978,122.555
1340011897,59.982,122.536
1340011898,59.982
1340011899,59.978,122.553
1340011900,59.978,122.539
1340011901,59.978,122.558
1340011902,59.978,122.546
1340011903,59.979,122.61
1340011904,59.979,122.609
1340011905,59.978,122.605
1340011906,59.98,122.634
1340011907,59.978,122.629
1340011908,59.978,122.646
1340011909,59.978,122.645
1340011910,59.978,122.647
1340011911,59.978,122.622
1340011912,59.951,122.634
1340011913,59.975,122.648
1340011914,59.975,122.666
1340011915,59.976,122.649
1340011916,59.974,122.653
1340011917,59.973,122.627
1340011918,59.973,122.63
1340011919,59.975,122.662
1340011920,59.976,122.64
1340011921,59.976,122.649
1340011922,59.976,122.63
1340011923,59.978,122.647
1340011924,59.978,122.609
1340011925,59.978,122.622
1340011926,59.978,122.611
1340011927,59.978,122.589
1340011928,59.978,122.628
1340011929,59.978,122.581
1340011930,59.978,122.593
1340011931,59.978,122.594
1340011932,59.978,122.634
1340011933,59.978,122.63
1340011934,59.978,122.635
1340011935,59.978,122.655
1340011936,59.978,122.645
1340011937,59.978,122.633
1340011938,59.977,122.634
1340011939,59.977,122.6
1340011940,59.977,122.625
1340011941,59.977,122.625
1340011942,59.977,122.634
1340011943,59.978,122.635
1340011944,59.978,122.611
1340011945,59.978,122.628
1340011946,59.978,122.634
1340011947,59.978,122.629
1340011948,59.978,122.64
1340011949,59.978,122.625
1340011950,59.978,122.625
1340011951,59.978,122.6
1340011952,59.978,122.609
1340011953,59.978,122.545
1340011954,59.978,122.491
1340011955,59.978,122.523
1340011956,59.978,122.506
1340011957,59.978,122.46
1340011958,59.977,122.555
1340011959,59.979,122.613
1340011960,59.977,122.606
1340011961,59.977,122.61
1340011962,59.977,122.609
1340011963,59.978,122.653
1340011964,59.978,122.643
1340011965,59.978,122.651
1340011966,59.978,122.642
1340011967,59.978,122.66
1340011968,59.98,122.654
1340011969,59.98,122.641
1340011970,59.979,122.637
1340011971,59.979,122.614
1340011972,59.978,122.649
1340011973,59.978,122.636
1340011974,59.983,122.594
1340011975,59.983,122.566
1340011976,59.978,122.577
1340011977,59.978,122.594
1340011978,59.987,122.599
1340011979,59.984,122.59
1340011980,59.978,122.575
1340011981,59.979,122.57
1340011982,59.985,122.584
1340011983,59.986,122.599
1340011984,59.978,122.594
1340011985,59.978,122.612
1340011986,59.986,122.603
1340011988,59.984
1340011989,59.978,122.599
1340011990,59.987,122.599
1340011991,59.988,122.613
1340011992,59.978,122.631
1340011993,59.99,122.629
1340011994,59.983,122.63
1340011995,59.978,122.661
1340011996,59.991,122.688
1340011997,59.978,122.709
1340011998,60.011,122.664
1340011999,59.988,122.682
1340012000,59.978,122.668
1340012001,59.992,122.669
1340012002,59.98,122.673
1340012003,60.012,122.65
1340012004,59.987,122.672
1340012005,60.011,122.684
1340012006,59.988,122.677
1340012007,60.009,122.666
1340012008,59.99,122.684
1340012009,60.003,122.681
1340012010,60.003,122.708
1340012011,59.978,122.711
1340012012,59.992,122.693
1340012013,59.979,122.675
1340012014,60.01,122.65
1340012015,59.989,122.682
1340012016,59.978,122.678
1340012017,59.991,122.689
1340012018,59.98,122.69
1340012019,60.009,122.712
1340012020,59.99,122.702
1340012021,59.978,122.726
1340012022,59.988,122.732
1340012023,59.986,122.737
1340012024,59.978,122.721
1340012025,59.989,122.596
1340012026,59.985,122.693
1340012027,59.978,122.688
1340012028,59.989,122.721
1340012029,59.986,122.71
1340012030,59.978,122.781
1340012031,59.987,122.773
1340012032,59.987,122.782
1340012033,59.978,122.773
1340012034,59.991,122.798
